decision_id,applicant_id,decided_on,outcome,internal_grade,approved_amount_inr,reason_code,human_signatory
ASH-D-00022,ASH-A-00330,2025-05-21,declined,B2,7500000,DOC_MISMATCH,ASH-U-018
ASH-D-00023,ASH-A-00313,2024-08-27,declined,C1,1500000,DSCR_BELOW_FLOOR,ASH-U-006
ASH-D-00024,ASH-A-00304,2025-04-03,approved,D2,3000000,DSCR_BELOW_FLOOR,ASH-U-008
ASH-D-00025,ASH-A-00332,2026-03-29,approved,A1,7500000,APPROVED_STANDARD,ASH-U-007
ASH-D-00026,ASH-A-00139,2025-06-14,declined,D2,1500000,ADVERSE_BUREAU,ASH-U-003
ASH-D-00027,ASH-A-00274,2026-02-04,declined,B2,3000000,SECTOR_CAP,ASH-U-017
ASH-D-00028,ASH-A-00049,2024-09-05,approved,B2,7500000,APPROVED_STANDARD,ASH-U-005
ASH-D-00029,ASH-A-00228,2024-12-13,approved,C2,0,THIN_FILE,ASH-U-008
ASH-D-00030,ASH-A-00143,2025-05-19,approved,C1,500000,THIN_FILE,ASH-U-001
ASH-D-00031,ASH-A-00050,2025-01-30,declined,B1,1500000,THIN_FILE,ASH-U-006
ASH-D-00032,ASH-A-00016,2026-03-23,declined,B2,0,APPROVED_STANDARD,ASH-U-013
ASH-D-00033,ASH-A-00267,2024-11-03,declined,D1,500000,DOC_MISMATCH,ASH-U-001
ASH-D-00034,ASH-A-00121,2025-09-22,declined,A2,3000000,THIN_FILE,ASH-U-013
ASH-D-00035,ASH-A-00307,2024-08-11,approved,C1,3000000,DOC_MISMATCH,ASH-U-016
ASH-D-00036,ASH-A-00094,2024-09-06,approved,C2,500000,DSCR_BELOW_FLOOR,ASH-U-009
ASH-D-00037,ASH-A-00051,2026-03-30,approved,D2,0,DOC_MISMATCH,ASH-U-004
ASH-D-00038,ASH-A-00222,2025-02-04,approved,C2,0,APPROVED_STANDARD,ASH-U-018
ASH-D-00039,ASH-A-00310,2025-04-07,approved,B2,3000000,DSCR_BELOW_FLOOR,ASH-U-017
ASH-D-00040,ASH-A-00190,2024-10-03,declined,A2,7500000,ADVERSE_BUREAU,ASH-U-010
ASH-D-00041,ASH-A-00185,2025-02-18,withdrawn,D1,7500000,DOC_MISMATCH,ASH-U-005
ASH-D-00042,ASH-A-00315,2025-06-04,approved,D1,0,SECTOR_CAP,ASH-U-006
ASH-D-00043,ASH-A-00232,2025-06-29,approved,B2,3000000,DOC_MISMATCH,ASH-U-004
ASH-D-00044,ASH-A-00345,2025-08-25,approved,B1,3000000,THIN_FILE,ASH-U-019
ASH-D-00045,ASH-A-00181,2025-06-08,approved,D1,3000000,DOC_MISMATCH,ASH-U-018
ASH-D-00046,ASH-A-00112,2024-08-20,approved,D2,500000,DOC_MISMATCH,ASH-U-004
ASH-D-00047,ASH-A-00100,2025-09-28,declined,D2,1500000,DSCR_BELOW_FLOOR,ASH-U-006
ASH-D-00048,ASH-A-00071,2025-01-17,declined,C1,3000000,DSCR_BELOW_FLOOR,ASH-U-010
ASH-D-00049,ASH-A-00152,2026-04-05,approved,D1,500000,DOC_MISMATCH,ASH-U-014
ASH-D-00050,ASH-A-00104,2026-02-17,approved,C1,0,DSCR_BELOW_FLOOR,ASH-U-015
ASH-D-00051,ASH-A-00213,2026-03-29,approved,C1,500000,APPROVED_STANDARD,ASH-U-004
ASH-D-00052,ASH-A-00191,2024-12-23,approved,B2,0,SECTOR_CAP,ASH-U-013
ASH-D-00053,ASH-A-00272,2026-02-24,approved,D1,1500000,DOC_MISMATCH,ASH-U-001
ASH-D-00054,ASH-A-00128,2025-05-29,approved,D1,7500000,SECTOR_CAP,ASH-U-016
ASH-D-00055,ASH-A-00011,2025-01-16,approved,B2,0,DSCR_BELOW_FLOOR,ASH-U-009
ASH-D-00056,ASH-A-00277,2025-01-19,approved,B2,3000000,APPROVED_STANDARD,ASH-U-008
ASH-D-00057,ASH-A-00040,2026-03-18,approved,B1,500000,APPROVED_STANDARD,ASH-U-020
ASH-D-00058,ASH-A-00058,2025-12-28,declined,D2,0,DOC_MISMATCH,ASH-U-011
ASH-D-00059,ASH-A-00306,2025-01-21,approved,A1,1500000,DSCR_BELOW_FLOOR,ASH-U-013
ASH-D-00060,ASH-A-00074,2025-10-25,approved,D2,500000,THIN_FILE,ASH-U-017
ASH-D-00061,ASH-A-00080,2025-03-07,approved,B2,0,DSCR_BELOW_FLOOR,ASH-U-018
ASH-D-00062,ASH-A-00058,2025-07-14,declined,D1,0,DOC_MISMATCH,ASH-U-011
ASH-D-00063,ASH-A-00346,2025-07-15,declined,C1,7500000,DOC_MISMATCH,ASH-U-010
ASH-D-00064,ASH-A-00297,2025-11-21,approved,A1,1500000,THIN_FILE,ASH-U-005
ASH-D-00065,ASH-A-00054,2025-08-17,approved,C1,7500000,DOC_MISMATCH,ASH-U-011
ASH-D-00066,ASH-A-00213,2025-05-04,approved,A2,7500000,SECTOR_CAP,ASH-U-018
ASH-D-00067,ASH-A-00339,2024-10-19,withdrawn,A1,3000000,DSCR_BELOW_FLOOR,ASH-U-016
ASH-D-00068,ASH-A-00108,2025-12-05,declined,C2,3000000,THIN_FILE,ASH-U-004
ASH-D-00069,ASH-A-00208,2025-01-03,declined,B1,7500000,DOC_MISMATCH,ASH-U-012
ASH-D-00070,ASH-A-00180,2025-07-15,declined,D1,0,DOC_MISMATCH,ASH-U-020
ASH-D-00071,ASH-A-00156,2025-11-17,approved,D2,7500000,SECTOR_CAP,ASH-U-003
ASH-D-00072,ASH-A-00045,2025-10-21,declined,B2,7500000,APPROVED_STANDARD,ASH-U-019
ASH-D-00073,ASH-A-00331,2025-10-26,declined,A1,3000000,SECTOR_CAP,ASH-U-006
ASH-D-00074,ASH-A-00024,2024-10-28,declined,A1,3000000,DSCR_BELOW_FLOOR,ASH-U-014
ASH-D-00075,ASH-A-00252,2025-04-28,approved,B1,0,DOC_MISMATCH,ASH-U-008
ASH-D-00076,ASH-A-00099,2025-06-24,withdrawn,B2,0,DOC_MISMATCH,ASH-U-020
ASH-D-00077,ASH-A-00269,2025-04-14,approved,A1,0,ADVERSE_BUREAU,ASH-U-020
ASH-D-00078,ASH-A-00028,2025-02-05,approved,B1,7500000,ADVERSE_BUREAU,ASH-U-010
ASH-D-00079,ASH-A-00190,2025-09-06,declined,B2,1500000,APPROVED_STANDARD,ASH-U-014
ASH-D-00080,ASH-A-00120,2026-01-11,declined,A2,500000,DOC_MISMATCH,ASH-U-009
ASH-D-00081,ASH-A-00111,2025-11-13,declined,B1,1500000,ADVERSE_BUREAU,ASH-U-004
ASH-D-00082,ASH-A-00224,2026-04-21,approved,B1,1500000,SECTOR_CAP,ASH-U-003
ASH-D-00083,ASH-A-00322,2026-02-26,declined,C1,3000000,DOC_MISMATCH,ASH-U-006
ASH-D-00084,ASH-A-00054,2026-04-29,declined,B1,500000,DOC_MISMATCH,ASH-U-002
ASH-D-00085,ASH-A-00062,2026-01-24,declined,B2,7500000,SECTOR_CAP,ASH-U-009
ASH-D-00086,ASH-A-00183,2025-02-17,approved,B2,7500000,ADVERSE_BUREAU,ASH-U-011
ASH-D-00087,ASH-A-00119,2024-10-13,approved,B2,0,SECTOR_CAP,ASH-U-008
ASH-D-00088,ASH-A-00004,2026-06-27,declined,D2,7500000,DOC_MISMATCH,ASH-U-017
ASH-D-00089,ASH-A-00338,2026-02-24,approved,A1,7500000,DOC_MISMATCH,ASH-U-010
ASH-D-00090,ASH-A-00185,2026-06-17,declined,D2,500000,APPROVED_STANDARD,ASH-U-009
ASH-D-00091,ASH-A-00016,2025-10-12,withdrawn,B1,0,DOC_MISMATCH,ASH-U-016
ASH-D-00092,ASH-A-00325,2026-03-27,declined,C2,0,DOC_MISMATCH,ASH-U-013
ASH-D-00093,ASH-A-00260,2024-09-20,approved,B2,500000,SECTOR_CAP,ASH-U-016
ASH-D-00094,ASH-A-00098,2026-07-28,approved,A1,3000000,APPROVED_STANDARD,ASH-U-005
ASH-D-00095,ASH-A-00061,2025-08-08,declined,C1,0,APPROVED_STANDARD,ASH-U-006
ASH-D-00096,ASH-A-00156,2024-11-12,declined,B1,1500000,DSCR_BELOW_FLOOR,ASH-U-020
ASH-D-00097,ASH-A-00268,2026-06-15,declined,B2,0,DOC_MISMATCH,ASH-U-008
ASH-D-00098,ASH-A-00094,2026-02-22,approved,C2,1500000,DSCR_BELOW_FLOOR,ASH-U-004
ASH-D-00099,ASH-A-00278,2024-10-17,declined,C1,1500000,ADVERSE_BUREAU,ASH-U-006
ASH-D-00100,ASH-A-00151,2026-03-15,withdrawn,C1,500000,APPROVED_STANDARD,ASH-U-001
ASH-D-00101,ASH-A-00080,2026-01-21,approved,C2,0,APPROVED_STANDARD,ASH-U-020
ASH-D-00102,ASH-A-00157,2025-07-08,approved,A2,0,APPROVED_STANDARD,ASH-U-017
ASH-D-00103,ASH-A-00218,2025-12-24,approved,C2,3000000,ADVERSE_BUREAU,ASH-U-001
ASH-D-00104,ASH-A-00313,2026-04-16,declined,A2,1500000,DOC_MISMATCH,ASH-U-012
ASH-D-00105,ASH-A-00098,2025-11-26,declined,A2,500000,DOC_MISMATCH,ASH-U-002
ASH-D-00106,ASH-A-00163,2025-03-30,declined,B1,1500000,ADVERSE_BUREAU,ASH-U-003
ASH-D-00107,ASH-A-00324,2025-11-28,approved,B1,3000000,DSCR_BELOW_FLOOR,ASH-U-003
ASH-D-00108,ASH-A-00013,2025-12-13,approved,D1,1500000,SECTOR_CAP,ASH-U-009
ASH-D-00109,ASH-A-00092,2026-03-06,declined,B1,0,APPROVED_STANDARD,ASH-U-006
ASH-D-00110,ASH-A-00123,2025-08-09,approved,D1,3000000,SECTOR_CAP,ASH-U-014
ASH-D-00111,ASH-A-00307,2024-12-13,declined,C2,500000,THIN_FILE,ASH-U-018
ASH-D-00112,ASH-A-00196,2024-10-12,declined,A2,0,APPROVED_STANDARD,ASH-U-018
ASH-D-00113,ASH-A-00098,2025-11-17,declined,B2,1500000,THIN_FILE,ASH-U-009
ASH-D-00114,ASH-A-00334,2025-12-04,declined,C1,0,DOC_MISMATCH,ASH-U-014
ASH-D-00115,ASH-A-00344,2024-12-17,approved,B2,1500000,DOC_MISMATCH,ASH-U-007
ASH-D-00116,ASH-A-00103,2026-04-19,approved,B2,500000,ADVERSE_BUREAU,ASH-U-007
ASH-D-00117,ASH-A-00241,2025-05-16,approved,D1,3000000,SECTOR_CAP,ASH-U-009
ASH-D-00118,ASH-A-00019,2025-08-30,approved,C2,1500000,THIN_FILE,ASH-U-010
ASH-D-00119,ASH-A-00127,2026-02-17,declined,D1,7500000,THIN_FILE,ASH-U-018
ASH-D-00120,ASH-A-00168,2025-04-25,approved,C1,500000,ADVERSE_BUREAU,ASH-U-001
ASH-D-00121,ASH-A-00295,2026-06-01,approved,C2,7500000,ADVERSE_BUREAU,ASH-U-016
ASH-D-00122,ASH-A-00323,2026-06-04,approved,D1,7500000,DOC_MISMATCH,ASH-U-010
ASH-D-00123,ASH-A-00167,2025-01-11,approved,A2,3000000,DOC_MISMATCH,ASH-U-011
ASH-D-00124,ASH-A-00022,2025-02-18,approved,B2,0,DSCR_BELOW_FLOOR,ASH-U-019
ASH-D-00125,ASH-A-00301,2025-04-22,approved,D2,500000,ADVERSE_BUREAU,ASH-U-010
ASH-D-00126,ASH-A-00312,2025-12-15,approved,D1,7500000,DOC_MISMATCH,ASH-U-014
ASH-D-00127,ASH-A-00230,2025-11-01,declined,C1,3000000,DSCR_BELOW_FLOOR,ASH-U-014
ASH-D-00128,ASH-A-00054,2025-07-22,declined,A1,3000000,SECTOR_CAP,ASH-U-002
ASH-D-00129,ASH-A-00043,2026-05-20,approved,D2,0,DSCR_BELOW_FLOOR,ASH-U-001
ASH-D-00130,ASH-A-00110,2026-04-13,declined,D2,0,ADVERSE_BUREAU,ASH-U-013
ASH-D-00131,ASH-A-00245,2026-05-07,approved,D1,1500000,DSCR_BELOW_FLOOR,ASH-U-011
ASH-D-00132,ASH-A-00039,2025-09-26,declined,D1,0,APPROVED_STANDARD,ASH-U-004
ASH-D-00133,ASH-A-00196,2025-08-18,declined,C1,7500000,APPROVED_STANDARD,ASH-U-006
ASH-D-00134,ASH-A-00104,2025-03-10,declined,C2,7500000,APPROVED_STANDARD,ASH-U-014
ASH-D-00135,ASH-A-00294,2025-09-07,approved,C1,1500000,DSCR_BELOW_FLOOR,ASH-U-011
ASH-D-00136,ASH-A-00209,2025-06-14,declined,B2,3000000,ADVERSE_BUREAU,ASH-U-010
ASH-D-00137,ASH-A-00023,2024-11-14,declined,C1,500000,SECTOR_CAP,ASH-U-014
ASH-D-00138,ASH-A-00036,2025-08-02,declined,B1,1500000,DOC_MISMATCH,ASH-U-004
ASH-D-00139,ASH-A-00153,2024-08-27,declined,C2,0,APPROVED_STANDARD,ASH-U-008
ASH-D-00140,ASH-A-00275,2025-04-09,declined,D2,3000000,APPROVED_STANDARD,ASH-U-006
ASH-D-00141,ASH-A-00192,2026-06-11,declined,A2,3000000,THIN_FILE,ASH-U-017
ASH-D-00142,ASH-A-00331,2025-03-12,declined,D1,7500000,DSCR_BELOW_FLOOR,ASH-U-013
ASH-D-00143,ASH-A-00100,2025-04-09,approved,B2,0,APPROVED_STANDARD,ASH-U-003
ASH-D-00144,ASH-A-00011,2026-03-22,approved,B1,3000000,SECTOR_CAP,ASH-U-019
ASH-D-00145,ASH-A-00193,2025-11-11,approved,B2,0,ADVERSE_BUREAU,ASH-U-017
ASH-D-00146,ASH-A-00188,2024-11-23,withdrawn,D2,3000000,ADVERSE_BUREAU,ASH-U-017
ASH-D-00147,ASH-A-00192,2026-03-13,approved,B2,3000000,ADVERSE_BUREAU,ASH-U-014
ASH-D-00148,ASH-A-00075,2024-09-10,withdrawn,D1,500000,ADVERSE_BUREAU,ASH-U-010
ASH-D-00149,ASH-A-00348,2025-03-07,approved,C1,3000000,SECTOR_CAP,ASH-U-020
ASH-D-00150,ASH-A-00193,2026-03-04,declined,B2,500000,DSCR_BELOW_FLOOR,ASH-U-018
ASH-D-00151,ASH-A-00036,2026-01-07,withdrawn,B2,500000,ADVERSE_BUREAU,ASH-U-015
ASH-D-00152,ASH-A-00347,2025-06-24,approved,A1,3000000,THIN_FILE,ASH-U-004
ASH-D-00153,ASH-A-00228,2025-03-23,approved,C2,3000000,DOC_MISMATCH,ASH-U-014
ASH-D-00154,ASH-A-00088,2026-01-07,approved,B1,3000000,THIN_FILE,ASH-U-013
ASH-D-00155,ASH-A-00227,2025-09-23,approved,A1,7500000,SECTOR_CAP,ASH-U-018
ASH-D-00156,ASH-A-00309,2025-08-15,declined,C1,3000000,ADVERSE_BUREAU,ASH-U-020
ASH-D-00157,ASH-A-00139,2026-01-14,approved,B2,1500000,SECTOR_CAP,ASH-U-011
ASH-D-00158,ASH-A-00070,2025-10-31,approved,B2,3000000,APPROVED_STANDARD,ASH-U-015
ASH-D-00159,ASH-A-00129,2026-06-14,declined,A1,500000,DOC_MISMATCH,ASH-U-013
ASH-D-00160,ASH-A-00238,2025-06-23,declined,C1,0,ADVERSE_BUREAU,ASH-U-005
ASH-D-00161,ASH-A-00011,2026-06-05,approved,D2,1500000,DSCR_BELOW_FLOOR,ASH-U-010
ASH-D-00162,ASH-A-00305,2025-07-13,approved,C1,0,DSCR_BELOW_FLOOR,ASH-U-011
ASH-D-00163,ASH-A-00241,2026-03-19,approved,B2,0,SECTOR_CAP,ASH-U-019
ASH-D-00164,ASH-A-00029,2026-04-06,approved,A1,7500000,ADVERSE_BUREAU,ASH-U-002
ASH-D-00165,ASH-A-00209,2025-05-17,approved,B1,500000,APPROVED_STANDARD,ASH-U-010
ASH-D-00166,ASH-A-00134,2025-04-25,approved,C2,3000000,ADVERSE_BUREAU,ASH-U-008
ASH-D-00167,ASH-A-00175,2024-12-19,withdrawn,B1,3000000,DOC_MISMATCH,ASH-U-002
ASH-D-00168,ASH-A-00323,2026-01-14,withdrawn,A1,0,ADVERSE_BUREAU,ASH-U-015
ASH-D-00169,ASH-A-00014,2026-05-27,withdrawn,A2,0,DSCR_BELOW_FLOOR,ASH-U-008
ASH-D-00170,ASH-A-00157,2025-10-29,withdrawn,C2,3000000,DSCR_BELOW_FLOOR,ASH-U-003
ASH-D-00171,ASH-A-00307,2026-01-18,declined,D1,1500000,DSCR_BELOW_FLOOR,ASH-U-003
ASH-D-00172,ASH-A-00280,2024-10-19,declined,C2,7500000,THIN_FILE,ASH-U-015
ASH-D-00173,ASH-A-00141,2025-06-09,approved,C1,1500000,DOC_MISMATCH,ASH-U-015
ASH-D-00174,ASH-A-00217,2026-07-19,approved,D1,7500000,DOC_MISMATCH,ASH-U-001
ASH-D-00175,ASH-A-00143,2026-02-12,approved,D1,3000000,APPROVED_STANDARD,ASH-U-013
ASH-D-00176,ASH-A-00280,2026-06-20,approved,A1,1500000,APPROVED_STANDARD,ASH-U-005
ASH-D-00177,ASH-A-00188,2025-06-11,approved,C2,0,SECTOR_CAP,ASH-U-020
ASH-D-00178,ASH-A-00034,2025-03-03,declined,B2,500000,DSCR_BELOW_FLOOR,ASH-U-006
ASH-D-00179,ASH-A-00294,2026-01-30,approved,D1,1500000,DSCR_BELOW_FLOOR,ASH-U-011
ASH-D-00180,ASH-A-00142,2026-05-14,approved,B2,7500000,SECTOR_CAP,ASH-U-014
ASH-D-00181,ASH-A-00089,2026-07-12,approved,C1,0,ADVERSE_BUREAU,ASH-U-003
ASH-D-00182,ASH-A-00110,2026-06-12,approved,D1,3000000,DSCR_BELOW_FLOOR,ASH-U-010
ASH-D-00183,ASH-A-00248,2025-03-28,approved,B2,500000,SECTOR_CAP,ASH-U-019
ASH-D-00184,ASH-A-00046,2025-02-14,approved,C2,500000,ADVERSE_BUREAU,ASH-U-015
ASH-D-00185,ASH-A-00153,2026-06-04,approved,B1,0,THIN_FILE,ASH-U-011
ASH-D-00186,ASH-A-00310,2025-02-21,approved,A1,500000,APPROVED_STANDARD,ASH-U-008
ASH-D-00187,ASH-A-00258,2025-08-09,declined,C2,0,SECTOR_CAP,ASH-U-014
ASH-D-00188,ASH-A-00211,2025-03-30,withdrawn,D2,3000000,ADVERSE_BUREAU,ASH-U-004
ASH-D-00189,ASH-A-00104,2024-10-10,withdrawn,C2,0,SECTOR_CAP,ASH-U-007
ASH-D-00190,ASH-A-00004,2024-11-19,approved,C2,500000,ADVERSE_BUREAU,ASH-U-014
ASH-D-00191,ASH-A-00162,2025-09-20,declined,C2,500000,SECTOR_CAP,ASH-U-017
ASH-D-00192,ASH-A-00275,2025-05-11,declined,A2,3000000,SECTOR_CAP,ASH-U-020
ASH-D-00193,ASH-A-00167,2025-04-25,declined,A1,7500000,SECTOR_CAP,ASH-U-010
ASH-D-00194,ASH-A-00346,2026-04-09,withdrawn,B1,7500000,DOC_MISMATCH,ASH-U-011
ASH-D-00195,ASH-A-00184,2026-04-20,approved,A2,3000000,DOC_MISMATCH,ASH-U-012
ASH-D-00196,ASH-A-00317,2024-12-17,approved,B2,0,SECTOR_CAP,ASH-U-008
ASH-D-00197,ASH-A-00159,2025-09-18,declined,A2,7500000,APPROVED_STANDARD,ASH-U-002
ASH-D-00198,ASH-A-00028,2024-12-31,withdrawn,A2,1500000,DOC_MISMATCH,ASH-U-007
ASH-D-00199,ASH-A-00132,2024-11-08,declined,B1,1500000,THIN_FILE,ASH-U-004
ASH-D-00200,ASH-A-00311,2026-06-13,approved,D2,500000,DSCR_BELOW_FLOOR,ASH-U-019
ASH-D-00201,ASH-A-00052,2024-12-14,approved,C2,500000,DOC_MISMATCH,ASH-U-007
ASH-D-00202,ASH-A-00151,2024-10-10,withdrawn,C1,3000000,DSCR_BELOW_FLOOR,ASH-U-007
ASH-D-00203,ASH-A-00127,2024-10-05,approved,C2,1500000,THIN_FILE,ASH-U-002
ASH-D-00204,ASH-A-00032,2025-04-07,approved,B2,0,ADVERSE_BUREAU,ASH-U-010
ASH-D-00205,ASH-A-00005,2025-07-16,approved,A2,0,DSCR_BELOW_FLOOR,ASH-U-020
ASH-D-00206,ASH-A-00208,2025-05-08,declined,C1,1500000,ADVERSE_BUREAU,ASH-U-015
ASH-D-00207,ASH-A-00208,2026-02-28,declined,D1,500000,APPROVED_STANDARD,ASH-U-010
ASH-D-00208,ASH-A-00166,2026-06-20,approved,B1,7500000,SECTOR_CAP,ASH-U-004
ASH-D-00209,ASH-A-00072,2025-06-13,withdrawn,C1,1500000,THIN_FILE,ASH-U-002
ASH-D-00210,ASH-A-00213,2025-03-27,declined,A2,0,DOC_MISMATCH,ASH-U-004
ASH-D-00211,ASH-A-00195,2025-12-12,approved,A2,0,DSCR_BELOW_FLOOR,ASH-U-017
ASH-D-00212,ASH-A-00325,2024-11-12,approved,C1,500000,APPROVED_STANDARD,ASH-U-004
ASH-D-00213,ASH-A-00207,2025-09-21,approved,B1,500000,APPROVED_STANDARD,ASH-U-003
ASH-D-00214,ASH-A-00324,2026-04-22,approved,D1,500000,APPROVED_STANDARD,ASH-U-013
ASH-D-00215,ASH-A-00316,2025-10-16,declined,B1,0,SECTOR_CAP,ASH-U-007
ASH-D-00216,ASH-A-00323,2025-02-27,approved,A2,0,DSCR_BELOW_FLOOR,ASH-U-012
ASH-D-00217,ASH-A-00291,2025-01-27,approved,C2,3000000,THIN_FILE,ASH-U-005
ASH-D-00218,ASH-A-00282,2025-12-01,approved,B2,500000,THIN_FILE,ASH-U-001
ASH-D-00219,ASH-A-00023,2025-12-15,declined,C1,7500000,ADVERSE_BUREAU,ASH-U-020
