statement_id,applicant_id,month,inflow_inr,outflow_inr,closing_balance_inr,bounced_instruments,avg_daily_balance_inr
ASH-S-000037,ASH-A-00056,2025-03,7150928,6098145,4392528,0,833270
ASH-S-000038,ASH-A-00005,2026-07,2202871,278871,620224,0,881818
ASH-S-000039,ASH-A-00025,2025-09,2584296,3734504,650589,0,1850908
ASH-S-000040,ASH-A-00254,2025-11,2213929,1792002,1594297,0,823541
ASH-S-000041,ASH-A-00021,2025-05,8524612,1629291,3055839,0,207278
ASH-S-000042,ASH-A-00208,2025-08,6721644,3365807,-425792,0,250925
ASH-S-000043,ASH-A-00176,2026-05,3952334,7441477,3382906,0,1678845
ASH-S-000044,ASH-A-00299,2025-04,3842206,2274914,145907,0,689054
ASH-S-000045,ASH-A-00306,2025-04,7054466,1301975,3489931,0,181449
ASH-S-000046,ASH-A-00081,2026-05,8986787,3720281,551026,1,132354
ASH-S-000047,ASH-A-00134,2025-08,4708929,1182074,4751681,0,690326
ASH-S-000048,ASH-A-00077,2026-04,1441636,3466178,544179,0,68687
ASH-S-000049,ASH-A-00256,2025-03,6235434,6869247,4223964,1,1761893
ASH-S-000050,ASH-A-00201,2026-01,760808,6488437,1511825,0,651609
ASH-S-000051,ASH-A-00043,2026-04,8672367,6665464,2587102,0,1281699
ASH-S-000052,ASH-A-00297,2025-09,4353756,5101605,-146520,0,1819780
ASH-S-000053,ASH-A-00200,2025-07,5216672,3223587,1435085,0,1451959
ASH-S-000054,ASH-A-00004,2025-09,6403816,2866405,3355201,0,718599
ASH-S-000055,ASH-A-00197,2025-05,7358625,2030838,292053,0,625967
ASH-S-000056,ASH-A-00130,2025-07,6974356,2365951,2431676,1,2337021
ASH-S-000057,ASH-A-00164,2025-09,2618486,1761408,3867508,1,174797
ASH-S-000058,ASH-A-00273,2026-02,1725611,6897787,787478,0,1314994
ASH-S-000059,ASH-A-00043,2026-07,6459809,4483643,1400553,0,1431178
ASH-S-000060,ASH-A-00122,2025-05,4806703,7793173,1115809,1,251605
ASH-S-000061,ASH-A-00186,2026-03,4036910,3833411,1609592,0,858536
ASH-S-000062,ASH-A-00017,2026-07,4121390,1361045,210062,0,1544462
ASH-S-000063,ASH-A-00342,2026-03,8460357,6865976,-215208,0,1130198
ASH-S-000064,ASH-A-00189,2026-02,6629897,4565739,3739098,0,1912248
ASH-S-000065,ASH-A-00205,2026-05,4580507,5688815,1222422,0,1016335
ASH-S-000066,ASH-A-00223,2025-11,8002002,4604184,2846953,0,2118853
ASH-S-000067,ASH-A-00195,2025-03,7309436,3560091,1901806,0,752740
ASH-S-000068,ASH-A-00175,2025-09,6286548,431212,4041985,0,43216
ASH-S-000069,ASH-A-00293,2025-10,5219691,1528649,2416307,0,1683950
ASH-S-000070,ASH-A-00305,2025-05,5500659,6287966,4379460,0,1277044
ASH-S-000071,ASH-A-00228,2025-06,1973169,4078631,-336366,0,1168399
ASH-S-000072,ASH-A-00069,2025-08,6253054,2050842,1778811,0,523969
ASH-S-000073,ASH-A-00146,2025-03,4522135,3338491,1628800,0,670238
ASH-S-000074,ASH-A-00212,2025-05,5129898,5373929,2141629,0,244195
ASH-S-000075,ASH-A-00231,2026-04,7003105,3751167,3391124,0,85799
ASH-S-000076,ASH-A-00015,2026-03,2126517,8376170,4002926,0,710499
ASH-S-000077,ASH-A-00072,2025-05,1412124,6240060,4155201,0,2346149
ASH-S-000078,ASH-A-00143,2025-10,2704265,3568371,2592951,0,1181721
ASH-S-000079,ASH-A-00090,2026-01,8560646,7788502,1729038,0,2098995
ASH-S-000080,ASH-A-00024,2025-05,8421968,3314705,4942329,2,116179
ASH-S-000081,ASH-A-00270,2025-12,5808364,2536114,1417005,1,1951120
ASH-S-000082,ASH-A-00231,2025-05,7293778,6776003,2267185,0,827802
ASH-S-000083,ASH-A-00239,2025-02,1950242,4735094,69635,0,205627
ASH-S-000084,ASH-A-00322,2025-11,2638536,7430707,4054765,0,1551354
ASH-S-000085,ASH-A-00166,2026-06,8789790,825549,-144936,0,647463
ASH-S-000086,ASH-A-00247,2026-07,3069387,2207879,101237,0,1351290
ASH-S-000087,ASH-A-00237,2026-07,3349335,2071841,3118703,0,1273005
ASH-S-000088,ASH-A-00116,2026-04,2150608,3711002,2888632,0,374252
ASH-S-000089,ASH-A-00253,2025-06,668583,3389597,570248,0,1460655
ASH-S-000090,ASH-A-00179,2025-06,8772233,6615955,1026481,1,122361
ASH-S-000091,ASH-A-00307,2026-06,3208733,8190904,1614698,0,1576693
ASH-S-000092,ASH-A-00315,2025-11,3657047,3996459,794522,0,1866792
ASH-S-000093,ASH-A-00116,2026-05,3269417,2984375,-438054,0,1996763
ASH-S-000094,ASH-A-00113,2025-11,3863293,2227660,1451170,0,375355
ASH-S-000095,ASH-A-00259,2025-11,663149,7937614,2881082,0,215331
ASH-S-000096,ASH-A-00282,2026-01,844398,3204680,2813923,0,516643
ASH-S-000097,ASH-A-00258,2025-06,3433820,6454350,-126415,0,2071048
ASH-S-000098,ASH-A-00063,2025-06,6730920,1733974,2521419,0,2332059
ASH-S-000099,ASH-A-00113,2026-04,3148301,1563919,3685542,0,1833439
ASH-S-000100,ASH-A-00134,2026-03,4413062,6813453,3563750,0,1866466
ASH-S-000101,ASH-A-00134,2025-05,2515189,3580198,1367735,2,650748
ASH-S-000102,ASH-A-00072,2025-06,8608836,343322,4874588,0,1234891
ASH-S-000103,ASH-A-00129,2025-06,5886697,2648439,4846024,1,759262
ASH-S-000104,ASH-A-00181,2025-12,1038984,6385462,1085454,0,1425719
ASH-S-000105,ASH-A-00108,2025-11,907266,6596593,1582082,0,2018184
ASH-S-000106,ASH-A-00125,2025-03,2005023,989824,1827977,0,2072659
ASH-S-000107,ASH-A-00141,2025-04,4044703,165913,3623229,0,970978
ASH-S-000108,ASH-A-00286,2025-10,2127234,5495127,795684,0,310887
ASH-S-000109,ASH-A-00112,2025-12,3007872,6792573,30935,0,1213026
ASH-S-000110,ASH-A-00339,2025-12,3925985,8004457,2614987,0,1326302
ASH-S-000111,ASH-A-00141,2026-02,835527,6125502,2221104,0,315015
ASH-S-000112,ASH-A-00089,2026-06,1208985,6238837,275429,0,1132681
ASH-S-000113,ASH-A-00036,2025-04,5821514,5595614,3142548,0,2398972
ASH-S-000114,ASH-A-00343,2025-04,6387818,3608716,4507118,0,2304794
ASH-S-000115,ASH-A-00254,2025-11,3181482,1069956,3552711,0,584988
ASH-S-000116,ASH-A-00009,2025-08,2910773,7351324,877880,0,308301
ASH-S-000117,ASH-A-00318,2026-06,8403687,1672189,690475,0,386671
ASH-S-000118,ASH-A-00076,2025-10,1309629,3445396,4344707,0,1813535
ASH-S-000119,ASH-A-00317,2025-12,7843781,7675232,2955635,0,2204543
ASH-S-000120,ASH-A-00242,2025-07,1324757,2827799,3126587,0,2039509
ASH-S-000121,ASH-A-00118,2025-04,3190064,2272102,3222944,0,128775
ASH-S-000122,ASH-A-00235,2025-10,8978935,8031766,4992095,0,1488143
ASH-S-000123,ASH-A-00121,2026-06,3569742,5240257,1253015,0,394598
ASH-S-000124,ASH-A-00322,2025-12,5596611,5240245,1130213,0,2159556
ASH-S-000125,ASH-A-00344,2026-05,5698205,3108235,1506012,0,201598
ASH-S-000126,ASH-A-00081,2025-05,1241873,5965124,-252709,0,2049647
ASH-S-000127,ASH-A-00193,2025-09,4824400,7712001,1933139,0,219470
ASH-S-000128,ASH-A-00000,2025-05,7140941,7849111,2868895,0,2294870
ASH-S-000129,ASH-A-00340,2026-01,8408408,6786215,2047656,0,2497582
ASH-S-000130,ASH-A-00230,2025-10,1573623,7102900,1238679,0,1467766
ASH-S-000131,ASH-A-00218,2026-07,646645,4370596,2323490,0,1715848
ASH-S-000132,ASH-A-00125,2025-11,5360372,3760899,3494824,0,2479871
ASH-S-000133,ASH-A-00197,2025-09,7237573,3188472,3445695,0,470995
ASH-S-000134,ASH-A-00325,2026-04,6087810,2364404,4325716,0,944239
ASH-S-000135,ASH-A-00164,2025-07,911233,6283705,4529179,0,43374
ASH-S-000136,ASH-A-00091,2025-11,5948075,1907539,904860,0,1950589
ASH-S-000137,ASH-A-00211,2026-07,3542315,7216597,2064146,0,338678
ASH-S-000138,ASH-A-00160,2026-05,4945071,5687064,4681513,0,1191505
ASH-S-000139,ASH-A-00211,2026-07,7371789,4220979,2054310,2,1107755
ASH-S-000140,ASH-A-00149,2025-07,5237174,4378419,162317,0,1290741
ASH-S-000141,ASH-A-00313,2025-05,6715756,4163508,4645751,0,1094138
ASH-S-000142,ASH-A-00141,2026-05,7644685,4842997,1449306,0,1140948
ASH-S-000143,ASH-A-00209,2025-08,368168,2934563,775610,0,2498568
ASH-S-000144,ASH-A-00168,2026-03,7128582,2212578,4628788,0,926565
ASH-S-000145,ASH-A-00294,2026-07,8844165,4583283,386838,0,444577
ASH-S-000146,ASH-A-00004,2026-04,7554972,2225750,63415,0,492946
ASH-S-000147,ASH-A-00245,2025-03,8115115,5543188,2077979,1,2185049
ASH-S-000148,ASH-A-00178,2025-07,4896158,6985610,2658348,0,2466205
ASH-S-000149,ASH-A-00067,2025-05,705661,4160919,-364767,0,1176593
ASH-S-000150,ASH-A-00290,2026-01,5186760,6460532,87611,0,947200
ASH-S-000151,ASH-A-00290,2025-03,539457,2432887,2534427,0,491500
ASH-S-000152,ASH-A-00104,2026-01,5672155,6661537,2538349,0,1652515
ASH-S-000153,ASH-A-00097,2025-10,5740327,7967996,-430566,0,1814574
ASH-S-000154,ASH-A-00040,2026-04,3744158,1214009,1740193,0,2327564
ASH-S-000155,ASH-A-00152,2025-07,4431588,5550445,2876492,0,365014
ASH-S-000156,ASH-A-00037,2025-07,6304122,866278,1267177,0,779936
ASH-S-000157,ASH-A-00097,2025-12,2723608,2337202,-169104,1,827481
ASH-S-000158,ASH-A-00158,2026-01,4991615,3132102,1774014,0,462068
ASH-S-000159,ASH-A-00009,2025-09,3972158,7622535,4410741,0,1671972
ASH-S-000160,ASH-A-00276,2025-03,628103,5324565,731688,0,1186836
ASH-S-000161,ASH-A-00195,2026-05,920925,2626756,302211,0,2053865
ASH-S-000162,ASH-A-00224,2025-09,1160642,7875099,1760364,0,167453
ASH-S-000163,ASH-A-00154,2025-07,5424163,1040550,851624,0,1547685
ASH-S-000164,ASH-A-00024,2025-06,2797691,4763172,3091035,0,769898
ASH-S-000165,ASH-A-00229,2025-10,2755681,3398168,1236461,0,653062
ASH-S-000166,ASH-A-00319,2025-08,236351,2346603,-313755,0,1693059
ASH-S-000167,ASH-A-00293,2025-05,3695930,3489450,-366443,0,930480
ASH-S-000168,ASH-A-00101,2025-08,6929994,7919220,3249151,0,525294
ASH-S-000169,ASH-A-00343,2026-01,7735347,6187040,-360191,0,1800414
ASH-S-000170,ASH-A-00072,2026-02,5907959,5347988,1639799,1,247672
ASH-S-000171,ASH-A-00088,2025-09,6290843,3593439,20181,0,735788
ASH-S-000172,ASH-A-00118,2026-05,4413808,8241178,981325,0,919261
ASH-S-000173,ASH-A-00138,2025-05,862937,2191642,4081389,0,295637
ASH-S-000174,ASH-A-00297,2025-02,1604494,7680528,917714,1,565337
ASH-S-000175,ASH-A-00149,2025-03,6342932,1041294,3235506,0,1744710
ASH-S-000176,ASH-A-00132,2026-07,7840635,1764402,3545385,0,2086986
ASH-S-000177,ASH-A-00164,2025-08,7024424,1836218,4770218,0,777040
ASH-S-000178,ASH-A-00135,2025-03,6561329,6095783,4917188,0,2261598
ASH-S-000179,ASH-A-00225,2025-06,7951214,2548697,2397751,0,278808
ASH-S-000180,ASH-A-00092,2025-06,5392637,732820,4456775,0,1449661
ASH-S-000181,ASH-A-00197,2025-12,4806937,4333533,3804141,0,628378
ASH-S-000182,ASH-A-00126,2026-02,4259267,3207850,3336361,0,330063
ASH-S-000183,ASH-A-00095,2025-04,2260882,1478284,271023,2,510069
ASH-S-000184,ASH-A-00271,2026-01,8695314,764032,1527246,0,2328606
ASH-S-000185,ASH-A-00212,2026-05,918804,1300405,3361905,1,2043110
ASH-S-000186,ASH-A-00149,2026-07,684880,3843854,4568604,0,444399
ASH-S-000187,ASH-A-00300,2026-06,4304824,6015234,1044873,0,468823
ASH-S-000188,ASH-A-00252,2025-04,2976812,3004449,742062,1,1636594
ASH-S-000189,ASH-A-00130,2025-08,3776222,7683625,1074947,0,1522954
ASH-S-000190,ASH-A-00148,2025-06,2501656,1955605,2701436,0,1354285
ASH-S-000191,ASH-A-00133,2026-05,6497287,3287225,1188284,0,16323
ASH-S-000192,ASH-A-00276,2025-07,3474981,4923660,2019838,0,87685
ASH-S-000193,ASH-A-00156,2026-03,8780075,8433437,3816232,0,1396610
ASH-S-000194,ASH-A-00006,2025-09,7875112,409126,944271,0,1579470
ASH-S-000195,ASH-A-00314,2026-07,6413787,5921302,148707,0,1323747
ASH-S-000196,ASH-A-00097,2026-07,7599465,8395511,1709048,0,771934
ASH-S-000197,ASH-A-00203,2026-01,3589845,2743655,4564144,0,1746923
ASH-S-000198,ASH-A-00119,2025-09,3183558,7649182,3727595,0,725113
ASH-S-000199,ASH-A-00081,2025-11,2657164,354219,3059465,0,1685068
ASH-S-000200,ASH-A-00178,2026-04,1484503,2438336,4621639,0,1557217
ASH-S-000201,ASH-A-00293,2025-06,2611839,4855558,531682,0,1731815
ASH-S-000202,ASH-A-00111,2025-03,2624009,5390895,2199161,0,2449263
ASH-S-000203,ASH-A-00205,2025-08,7393048,4159743,3436210,0,656633
ASH-S-000204,ASH-A-00330,2025-12,2971728,5037111,1058988,0,1591182
ASH-S-000205,ASH-A-00038,2025-10,4428804,514123,4971617,0,1434563
ASH-S-000206,ASH-A-00049,2025-07,3515348,1854644,1420955,0,179649
ASH-S-000207,ASH-A-00022,2025-09,3845638,2694592,88819,0,361096
ASH-S-000208,ASH-A-00090,2025-06,1663118,2960709,189794,0,1251818
ASH-S-000209,ASH-A-00261,2026-07,1969999,6309336,4065809,0,1836368
ASH-S-000210,ASH-A-00278,2025-12,8460278,6795438,2049421,1,446128
ASH-S-000211,ASH-A-00298,2025-05,8985988,5541395,1749022,0,255314
ASH-S-000212,ASH-A-00199,2025-10,5207028,2300852,-441947,0,1638510
ASH-S-000213,ASH-A-00090,2026-04,8510150,8412168,3259812,0,2025117
ASH-S-000214,ASH-A-00125,2025-10,8817254,5551052,2802404,0,1191824
ASH-S-000215,ASH-A-00204,2025-10,2072327,7363867,634656,0,766201
ASH-S-000216,ASH-A-00057,2026-05,2444066,7376857,764926,0,820792
ASH-S-000217,ASH-A-00093,2025-02,5207759,1133135,-68553,0,1070888
ASH-S-000218,ASH-A-00272,2025-07,1971931,4781184,3623487,1,2393840
ASH-S-000219,ASH-A-00057,2025-04,7983065,7551253,837015,0,1713941
ASH-S-000220,ASH-A-00301,2026-05,4738782,1679589,899589,0,845348
ASH-S-000221,ASH-A-00056,2026-04,413906,1016520,1389958,1,1781037
ASH-S-000222,ASH-A-00209,2025-02,2900107,95751,73348,0,835055
ASH-S-000223,ASH-A-00082,2026-04,5728226,3304575,4113166,0,414168
ASH-S-000224,ASH-A-00001,2025-10,858685,5540067,1055423,0,2230716
ASH-S-000225,ASH-A-00120,2026-04,112061,6020576,4190164,0,1762924
ASH-S-000226,ASH-A-00315,2025-06,1127699,1060614,3334116,0,1822759
ASH-S-000227,ASH-A-00083,2026-01,7397344,4154741,1455375,0,2341236
ASH-S-000228,ASH-A-00105,2026-03,6545343,3479979,1349273,0,1719216
ASH-S-000229,ASH-A-00042,2026-03,5720877,1973352,4844100,2,1698167
ASH-S-000230,ASH-A-00090,2025-12,7711549,1817494,1628966,0,1288016
ASH-S-000231,ASH-A-00055,2025-02,1327983,3245522,850674,0,667881
ASH-S-000232,ASH-A-00102,2025-08,2636085,1723450,4084581,0,948709
ASH-S-000233,ASH-A-00178,2025-07,7815749,1122009,3982162,0,92983
ASH-S-000234,ASH-A-00207,2026-02,8351307,6530011,346682,0,1782059
ASH-S-000235,ASH-A-00322,2025-11,2882602,165259,4875122,1,2267484
ASH-S-000236,ASH-A-00267,2025-04,4549467,4210050,179651,0,1969112
ASH-S-000237,ASH-A-00310,2026-01,6954490,2019224,3414164,1,474179
ASH-S-000238,ASH-A-00180,2026-05,7109640,4203130,4088386,0,1477769
ASH-S-000239,ASH-A-00338,2026-02,3069617,339110,813955,0,1590708
ASH-S-000240,ASH-A-00188,2025-12,6530373,2925798,4680770,1,2420660
ASH-S-000241,ASH-A-00048,2025-05,5510328,7579839,1262450,0,2137475
ASH-S-000242,ASH-A-00303,2026-04,2806425,5821775,2285946,0,1154326
ASH-S-000243,ASH-A-00343,2026-01,231539,7514748,2048643,1,2439892
ASH-S-000244,ASH-A-00311,2025-02,7546730,4558258,4813025,0,1738077
ASH-S-000245,ASH-A-00216,2026-05,5188877,1115775,3223142,0,1672442
ASH-S-000246,ASH-A-00248,2025-02,144545,7731957,2125248,0,2098891
ASH-S-000247,ASH-A-00130,2026-04,5984629,4828531,2952655,0,2145147
ASH-S-000248,ASH-A-00099,2026-05,8536863,5131231,494092,0,1027252
ASH-S-000249,ASH-A-00147,2026-01,8787166,5820669,1280216,0,2449092
ASH-S-000250,ASH-A-00274,2026-03,1872105,6449110,2007587,0,2248517
ASH-S-000251,ASH-A-00014,2025-09,4945657,5362222,-367152,0,709044
ASH-S-000252,ASH-A-00339,2026-06,8716401,6678586,-366846,0,726812
ASH-S-000253,ASH-A-00060,2025-03,2831906,6745243,720554,2,173932
ASH-S-000254,ASH-A-00203,2025-12,4943345,1086875,-298350,0,761373
ASH-S-000255,ASH-A-00138,2026-03,4318976,6075793,3912776,0,938784
ASH-S-000256,ASH-A-00000,2026-04,3266897,750365,2317234,0,2278519
ASH-S-000257,ASH-A-00282,2025-08,8027817,4454145,439077,0,1754805
ASH-S-000258,ASH-A-00121,2025-02,2586135,7560727,2658465,1,208152
ASH-S-000259,ASH-A-00000,2025-07,850481,5846686,2824722,0,1701550
ASH-S-000260,ASH-A-00052,2026-05,6050859,3470904,-304983,1,1509196
ASH-S-000261,ASH-A-00198,2025-09,1708923,4439847,4292359,0,1848258
ASH-S-000262,ASH-A-00277,2026-07,5015684,7307643,3315021,0,2118282
ASH-S-000263,ASH-A-00245,2025-02,2064998,7980592,908916,0,156462
ASH-S-000264,ASH-A-00015,2025-05,3503305,7236064,2673592,1,525376
ASH-S-000265,ASH-A-00024,2025-08,4633056,5019788,2091883,1,1067237
ASH-S-000266,ASH-A-00067,2026-05,805880,6660067,3609649,0,1448411
ASH-S-000267,ASH-A-00216,2026-04,6805470,6338457,932733,0,171981
ASH-S-000268,ASH-A-00193,2025-05,2194701,2020067,2264614,1,1839504
ASH-S-000269,ASH-A-00244,2025-05,5371976,7198205,1045356,0,768330
ASH-S-000270,ASH-A-00063,2026-05,212781,5626432,1528971,0,1246880
ASH-S-000271,ASH-A-00225,2025-03,4418920,8430219,2127845,0,1640735
ASH-S-000272,ASH-A-00155,2026-04,4921463,5524008,2673627,0,1843218
ASH-S-000273,ASH-A-00167,2025-06,1697137,3948291,4032683,0,35613
ASH-S-000274,ASH-A-00250,2025-04,2381496,4882943,2343548,0,925035
ASH-S-000275,ASH-A-00052,2025-06,1025506,115772,1639911,0,785253
ASH-S-000276,ASH-A-00046,2025-04,8003903,4033323,4919485,0,1953281
ASH-S-000277,ASH-A-00253,2025-06,7220361,4601591,4046895,0,1043395
ASH-S-000278,ASH-A-00316,2025-11,5465234,5449326,4198495,0,768936
ASH-S-000279,ASH-A-00299,2026-07,5201645,2917347,2454768,0,1321256
ASH-S-000280,ASH-A-00051,2025-12,2020388,8488153,2298877,0,362461
ASH-S-000281,ASH-A-00229,2025-03,998370,5696947,-11902,0,207818
ASH-S-000282,ASH-A-00185,2025-10,1636022,4393997,3310083,0,1139295
ASH-S-000283,ASH-A-00241,2025-08,6222499,3664147,2541562,0,1258070
ASH-S-000284,ASH-A-00224,2026-03,5042643,1941312,3419195,0,2445133
ASH-S-000285,ASH-A-00153,2026-04,7788498,3406027,1730681,0,862175
ASH-S-000286,ASH-A-00018,2025-10,3961711,8252824,3832762,0,942165
ASH-S-000287,ASH-A-00099,2025-05,8969427,3713628,3083997,0,297929
ASH-S-000288,ASH-A-00102,2025-08,8823708,3117141,3132975,1,2161593
ASH-S-000289,ASH-A-00242,2026-03,3017398,1206175,2508044,0,2022926
ASH-S-000290,ASH-A-00278,2026-02,3373355,221777,1942775,0,1833662
ASH-S-000291,ASH-A-00094,2025-10,1130167,5319001,1072861,0,1292322
ASH-S-000292,ASH-A-00209,2025-10,3648629,5553491,1449400,0,2156887
ASH-S-000293,ASH-A-00025,2025-04,8667989,1861536,2538361,0,2016413
ASH-S-000294,ASH-A-00096,2025-09,4764472,6460775,3715480,0,2019871
ASH-S-000295,ASH-A-00226,2025-11,2807728,6728783,4489634,1,1311876
ASH-S-000296,ASH-A-00114,2025-07,6724679,2350957,4479655,0,1087737
ASH-S-000297,ASH-A-00192,2026-06,7294397,4455515,2414332,0,2474329
ASH-S-000298,ASH-A-00294,2026-05,566424,679602,490912,0,2334078
ASH-S-000299,ASH-A-00174,2026-02,3903108,344573,4006797,1,1437659
ASH-S-000300,ASH-A-00083,2025-04,1505801,6931926,3929417,0,1215819
ASH-S-000301,ASH-A-00087,2026-06,5026075,6600806,1873102,0,2168387
ASH-S-000302,ASH-A-00264,2025-09,7760964,6279517,3224549,0,1565815
ASH-S-000303,ASH-A-00251,2025-10,5927354,2180948,3897922,0,2494436
ASH-S-000304,ASH-A-00026,2025-06,2486846,1258851,3250276,0,1950959
ASH-S-000305,ASH-A-00275,2026-05,1321156,2369534,2060204,0,796563
ASH-S-000306,ASH-A-00327,2026-05,7660838,1434880,3426561,0,1386428
ASH-S-000307,ASH-A-00297,2026-03,5100560,4467242,2307599,0,1125164
ASH-S-000308,ASH-A-00105,2026-01,8407199,2742273,3937848,2,2205173
ASH-S-000309,ASH-A-00053,2025-04,3137231,3711356,4903570,0,2225276
ASH-S-000310,ASH-A-00257,2025-10,7368314,1973893,237161,0,2072272
ASH-S-000311,ASH-A-00275,2025-04,4695449,5706529,4385510,0,105059
ASH-S-000312,ASH-A-00316,2026-07,2880519,1827750,3285404,0,207107
ASH-S-000313,ASH-A-00189,2025-10,2559789,7194099,3098032,0,936987
ASH-S-000314,ASH-A-00191,2025-04,5332627,406743,3448013,2,59864
ASH-S-000315,ASH-A-00342,2025-10,3354222,2182930,2859841,0,519766
ASH-S-000316,ASH-A-00062,2026-04,4125508,1399161,-362463,0,2244046
ASH-S-000317,ASH-A-00064,2026-04,8037610,5216876,677438,0,1331831
ASH-S-000318,ASH-A-00178,2025-05,4162723,7217024,-95477,0,2237673
ASH-S-000319,ASH-A-00167,2026-03,1775578,8487002,581940,0,1384642
ASH-S-000320,ASH-A-00031,2025-05,5102039,3619746,3417471,0,302254
ASH-S-000321,ASH-A-00175,2026-03,8404675,3510093,2730244,0,596619
ASH-S-000322,ASH-A-00225,2025-04,3721208,5909862,3825312,0,1691677
ASH-S-000323,ASH-A-00290,2025-08,3586199,5986213,1579996,0,263141
ASH-S-000324,ASH-A-00003,2026-06,5681298,5458188,3158794,0,1234312
ASH-S-000325,ASH-A-00230,2026-07,4212400,1501971,2354414,1,1585269
ASH-S-000326,ASH-A-00122,2026-05,8256265,3179511,2545306,0,495239
ASH-S-000327,ASH-A-00051,2025-11,4948367,4188861,2845778,1,188624
ASH-S-000328,ASH-A-00337,2025-05,8603800,4086266,3505537,0,1926527
ASH-S-000329,ASH-A-00014,2025-06,7157035,6405316,2988148,0,1055950
ASH-S-000330,ASH-A-00151,2025-06,8824956,1439201,2718469,0,1085523
ASH-S-000331,ASH-A-00035,2026-07,6995713,1344185,-156719,1,1947043
ASH-S-000332,ASH-A-00165,2026-06,3514928,5676376,4041371,1,1266668
ASH-S-000333,ASH-A-00209,2025-09,798965,6323018,593876,0,2359718
ASH-S-000334,ASH-A-00279,2025-02,2351113,8287797,1345105,0,608568
ASH-S-000335,ASH-A-00249,2025-12,3578563,7143687,676765,1,2145362
ASH-S-000336,ASH-A-00052,2025-08,4428034,4599716,3352452,0,2438550
ASH-S-000337,ASH-A-00117,2026-05,5398184,3606948,-268742,0,2422281
ASH-S-000338,ASH-A-00022,2025-12,8389706,6806654,1732109,0,25073
ASH-S-000339,ASH-A-00291,2025-06,2984693,4727750,4697804,0,1140878
ASH-S-000340,ASH-A-00163,2025-11,1957132,4038372,2306926,0,1912848
ASH-S-000341,ASH-A-00069,2026-02,2148393,7668681,1780380,1,99225
ASH-S-000342,ASH-A-00328,2026-01,2090214,1832652,2769106,0,1146610
ASH-S-000343,ASH-A-00017,2025-07,5198172,3554099,4504711,0,2202435
ASH-S-000344,ASH-A-00033,2026-03,8358174,3508496,4150117,0,1516360
