applicant_id,bureau_score,enquiries_last_6m,active_trade_lines,dpd_30_last_12m,dpd_90_ever,written_off_amount_inr,report_pulled_on
ASH-A-00151,421,8,1,0,True,900000,2026-07-19
ASH-A-00152,722,8,3,0,False,0,2026-06-19
ASH-A-00153,465,6,8,0,True,0,2026-07-21
ASH-A-00154,675,7,1,0,True,900000,2026-05-13
ASH-A-00155,650,0,7,0,False,0,2026-06-16
ASH-A-00156,404,3,0,0,False,0,2026-05-08
ASH-A-00157,594,5,8,2,False,0,2026-07-20
ASH-A-00158,710,2,1,1,True,150000,2026-06-14
ASH-A-00159,486,5,8,1,False,0,2026-06-13
ASH-A-00160,739,9,4,0,False,150000,2026-05-03
ASH-A-00161,641,3,10,1,False,150000,2026-06-11
ASH-A-00162,460,7,4,1,False,0,2026-07-22
ASH-A-00163,452,1,5,0,False,0,2026-07-10
ASH-A-00164,786,0,0,0,False,0,2026-06-13
ASH-A-00165,402,4,5,0,True,0,2026-07-19
ASH-A-00166,419,0,7,0,False,0,2026-07-31
ASH-A-00167,558,0,0,1,False,0,2026-06-25
ASH-A-00168,865,1,11,0,False,900000,2026-07-03
ASH-A-00169,576,9,0,0,False,900000,2026-05-09
ASH-A-00170,624,2,0,0,False,0,2026-07-20
ASH-A-00171,604,9,7,2,False,150000,2026-06-23
ASH-A-00172,804,3,10,0,False,0,2026-07-08
ASH-A-00173,423,6,6,0,False,0,2026-06-12
ASH-A-00174,691,1,2,0,False,0,2026-06-19
ASH-A-00175,791,9,4,0,False,0,2026-06-14
ASH-A-00176,487,3,11,0,False,150000,2026-06-30
ASH-A-00177,596,9,9,2,False,0,2026-07-20
ASH-A-00178,315,1,11,1,False,0,2026-07-24
ASH-A-00179,442,0,3,0,False,150000,2026-07-24
ASH-A-00180,475,1,1,0,False,900000,2026-07-06
ASH-A-00181,328,4,1,1,False,150000,2026-07-19
ASH-A-00182,385,3,5,0,False,150000,2026-06-22
ASH-A-00183,816,9,7,2,False,0,2026-06-15
ASH-A-00184,322,8,8,0,False,900000,2026-06-21
ASH-A-00185,331,1,8,2,False,0,2026-06-24
ASH-A-00186,441,2,12,0,False,0,2026-06-23
ASH-A-00187,825,3,9,3,False,0,2026-06-14
ASH-A-00188,311,8,2,0,True,150000,2026-05-07
ASH-A-00189,728,7,5,0,False,0,2026-07-24
ASH-A-00190,493,6,9,0,False,0,2026-07-16
ASH-A-00191,386,2,8,2,False,150000,2026-05-29
ASH-A-00192,469,9,10,0,False,0,2026-06-17
ASH-A-00193,701,9,10,2,False,900000,2026-05-08
ASH-A-00194,573,0,9,0,False,0,2026-07-30
ASH-A-00195,390,9,6,0,False,0,2026-07-29
ASH-A-00196,865,3,2,0,False,900000,2026-06-26
ASH-A-00197,871,3,5,1,False,0,2026-06-28
ASH-A-00198,707,2,4,0,False,0,2026-07-10
ASH-A-00199,589,9,6,0,False,0,2026-07-01
ASH-A-00200,739,0,4,0,False,0,2026-06-15
ASH-A-00201,311,2,8,0,False,0,2026-06-06
ASH-A-00202,893,3,10,0,False,0,2026-05-03
ASH-A-00203,814,9,12,1,False,0,2026-06-24
ASH-A-00204,813,3,9,0,False,0,2026-06-10
ASH-A-00205,791,2,12,0,False,0,2026-06-13
ASH-A-00206,322,9,1,0,True,0,2026-06-29
ASH-A-00207,554,5,10,1,False,0,2026-07-22
ASH-A-00208,509,6,1,0,False,0,2026-07-29
ASH-A-00209,300,5,2,3,True,0,2026-06-03
ASH-A-00210,869,8,1,0,False,900000,2026-05-05
ASH-A-00211,469,5,4,1,False,0,2026-05-15
ASH-A-00212,399,6,5,0,False,900000,2026-05-31
ASH-A-00213,580,0,12,0,False,0,2026-06-18
ASH-A-00214,795,1,12,0,False,150000,2026-06-24
ASH-A-00215,886,8,10,0,False,900000,2026-05-03
ASH-A-00216,710,7,8,0,False,0,2026-05-29
ASH-A-00217,723,8,1,1,False,150000,2026-05-21
ASH-A-00218,703,6,4,0,False,150000,2026-07-02
ASH-A-00219,554,9,6,0,False,0,2026-06-21
ASH-A-00220,690,9,4,0,False,0,2026-06-05
ASH-A-00221,567,5,12,0,False,150000,2026-05-16
ASH-A-00222,484,0,10,1,False,0,2026-07-10
ASH-A-00223,690,0,5,0,False,0,2026-07-08
ASH-A-00224,363,3,9,0,False,0,2026-05-23
ASH-A-00225,731,5,3,0,False,0,2026-05-13
ASH-A-00226,827,9,4,0,False,0,2026-06-19
ASH-A-00227,307,0,0,0,False,0,2026-07-20
ASH-A-00228,439,4,8,3,False,0,2026-05-31
ASH-A-00229,685,6,10,1,False,900000,2026-07-26
ASH-A-00230,870,9,6,0,False,0,2026-07-18
ASH-A-00231,746,4,2,0,False,0,2026-06-02
ASH-A-00232,733,5,7,1,False,0,2026-06-27
ASH-A-00233,761,4,12,0,False,150000,2026-07-20
ASH-A-00234,329,6,2,0,False,0,2026-07-19
ASH-A-00235,714,6,12,0,False,0,2026-06-05
ASH-A-00236,596,0,1,0,False,150000,2026-06-06
ASH-A-00237,534,0,0,0,False,0,2026-07-25
ASH-A-00238,491,1,2,0,False,0,2026-06-13
ASH-A-00239,789,7,4,0,False,150000,2026-05-09
ASH-A-00240,699,0,1,0,False,0,2026-05-12
ASH-A-00241,681,8,4,0,False,0,2026-05-09
ASH-A-00242,306,8,0,0,False,0,2026-06-19
ASH-A-00243,806,8,2,0,True,150000,2026-06-30
ASH-A-00244,666,7,12,2,False,0,2026-06-15
ASH-A-00245,438,6,12,0,False,0,2026-05-10
ASH-A-00246,450,1,2,0,False,0,2026-07-13
ASH-A-00247,790,5,3,0,False,900000,2026-06-09
ASH-A-00248,845,0,7,0,False,900000,2026-05-19
ASH-A-00249,677,4,8,0,False,900000,2026-06-26
ASH-A-00250,538,8,5,1,False,0,2026-05-07
ASH-A-00251,332,6,4,0,False,900000,2026-06-17
ASH-A-00252,646,2,3,1,True,0,2026-05-22
ASH-A-00253,457,7,4,1,False,900000,2026-07-13
ASH-A-00254,803,9,11,1,True,0,2026-07-29
ASH-A-00255,707,3,3,0,False,900000,2026-07-14
ASH-A-00256,470,7,2,0,False,150000,2026-06-24
ASH-A-00257,688,2,1,2,False,0,2026-07-05
ASH-A-00258,855,0,12,1,False,0,2026-05-27
ASH-A-00259,342,4,5,1,False,0,2026-07-01
ASH-A-00260,535,5,11,0,False,0,2026-07-02
ASH-A-00261,534,5,3,2,True,900000,2026-07-18
ASH-A-00262,406,8,1,1,False,0,2026-06-21
ASH-A-00263,593,8,1,1,False,0,2026-05-30
ASH-A-00264,560,4,10,2,False,0,2026-05-08
ASH-A-00265,844,3,8,1,False,0,2026-06-30
ASH-A-00266,522,7,11,1,False,900000,2026-07-09
ASH-A-00267,628,3,10,0,False,0,2026-06-21
ASH-A-00268,824,4,8,1,False,150000,2026-06-28
ASH-A-00269,735,9,8,0,False,900000,2026-06-30
ASH-A-00270,362,4,5,0,False,0,2026-05-13
ASH-A-00271,580,7,10,0,False,0,2026-07-21
ASH-A-00272,391,9,8,1,False,0,2026-05-20
ASH-A-00273,574,2,3,1,False,150000,2026-06-16
ASH-A-00274,466,8,3,0,False,0,2026-05-14
ASH-A-00275,862,7,0,0,False,150000,2026-05-23
ASH-A-00276,476,8,8,2,False,150000,2026-08-01
ASH-A-00277,517,2,2,0,False,0,2026-05-21
ASH-A-00278,535,2,0,0,False,0,2026-06-17
ASH-A-00279,744,6,1,0,True,900000,2026-06-30
ASH-A-00280,871,7,11,0,True,0,2026-07-21
ASH-A-00281,602,3,5,0,False,0,2026-07-31
ASH-A-00282,540,8,4,2,False,900000,2026-05-11
ASH-A-00283,822,0,12,0,False,150000,2026-07-04
ASH-A-00284,441,3,5,0,False,150000,2026-06-03
ASH-A-00285,400,0,0,0,False,0,2026-06-16
ASH-A-00286,713,2,0,0,False,0,2026-07-14
ASH-A-00287,688,7,1,0,False,0,2026-06-14
ASH-A-00288,743,6,6,0,True,900000,2026-06-10
ASH-A-00289,679,4,1,1,False,0,2026-05-30
ASH-A-00290,301,7,8,0,False,150000,2026-05-29
ASH-A-00291,780,0,8,0,False,150000,2026-07-16
ASH-A-00292,499,6,6,0,False,0,2026-06-09
ASH-A-00293,847,9,9,0,False,150000,2026-06-16
ASH-A-00294,315,8,3,0,False,150000,2026-07-29
ASH-A-00295,879,1,7,0,False,900000,2026-06-19
ASH-A-00296,374,5,0,0,False,0,2026-06-07
ASH-A-00297,764,1,9,0,False,900000,2026-06-30
ASH-A-00298,542,2,0,2,False,900000,2026-07-16
ASH-A-00299,667,7,10,0,False,0,2026-06-09
ASH-A-00300,315,4,1,0,True,150000,2026-06-08
ASH-A-00301,442,1,12,0,False,0,2026-05-14
ASH-A-00302,771,7,7,0,False,900000,2026-05-16
ASH-A-00303,799,4,6,0,False,0,2026-06-24
ASH-A-00304,864,2,4,0,False,0,2026-05-16
ASH-A-00305,746,4,2,0,False,0,2026-06-04
ASH-A-00306,824,9,1,0,False,0,2026-07-12
ASH-A-00307,675,4,2,0,False,900000,2026-05-31
ASH-A-00308,681,7,0,0,False,0,2026-05-03
ASH-A-00309,891,2,2,1,False,0,2026-07-11
ASH-A-00310,888,0,11,0,False,0,2026-08-01
ASH-A-00311,650,6,4,2,False,0,2026-07-22
ASH-A-00312,439,4,7,3,False,150000,2026-07-01
ASH-A-00313,635,4,0,0,False,900000,2026-07-30
ASH-A-00314,829,2,2,0,False,0,2026-05-12
ASH-A-00315,439,6,1,0,False,0,2026-05-03
ASH-A-00316,793,1,0,1,False,900000,2026-07-10
ASH-A-00317,360,1,1,0,False,150000,2026-05-20
ASH-A-00318,774,1,10,0,False,0,2026-07-14
ASH-A-00319,344,5,3,2,False,0,2026-05-08
ASH-A-00320,883,2,3,0,False,0,2026-06-30
ASH-A-00321,621,0,0,2,False,900000,2026-07-22
ASH-A-00322,388,8,9,1,False,0,2026-07-10
ASH-A-00323,600,3,12,0,False,150000,2026-06-17
ASH-A-00324,723,9,8,0,False,0,2026-06-05
ASH-A-00325,434,9,4,0,False,0,2026-06-12
ASH-A-00326,390,9,12,1,False,0,2026-05-23
ASH-A-00327,618,8,1,0,False,0,2026-05-06
ASH-A-00328,564,5,0,0,False,900000,2026-07-01
ASH-A-00329,712,3,10,0,False,0,2026-05-24
ASH-A-00330,668,7,4,0,False,0,2026-06-05
ASH-A-00331,455,6,8,0,False,150000,2026-06-14
ASH-A-00332,339,6,7,0,False,900000,2026-05-27
ASH-A-00333,606,8,8,0,False,0,2026-06-03
ASH-A-00334,533,6,12,2,False,0,2026-06-11
ASH-A-00335,441,8,0,0,True,0,2026-05-30
ASH-A-00336,351,6,5,0,False,0,2026-06-07
ASH-A-00337,706,2,3,0,False,0,2026-06-30
ASH-A-00338,334,8,5,2,False,0,2026-06-20
ASH-A-00339,616,0,10,3,False,0,2026-05-13
ASH-A-00340,385,1,7,1,False,0,2026-06-30
ASH-A-00341,319,2,5,1,False,0,2026-07-08
ASH-A-00342,698,0,10,1,False,0,2026-06-11
ASH-A-00343,679,3,5,1,False,900000,2026-05-11
ASH-A-00344,481,0,1,0,False,0,2026-07-18
ASH-A-00345,879,5,0,0,False,900000,2026-07-31
ASH-A-00346,351,1,5,0,False,900000,2026-05-21
ASH-A-00347,655,9,4,0,False,0,2026-05-06
ASH-A-00348,748,4,0,2,False,0,2026-07-10
ASH-A-00349,495,2,7,0,True,0,2026-07-11
